2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:583] Neighboring robot positions around the frontier = 3
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (39,79), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (42,80), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (39,120), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:598] Info gain = 242.990326
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:599] Info loss at the frontier (percent) = 0.002158
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:617] ======== Max Info gain around frontier: 370.850433 ========
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:624] Navigating to left extreme of the frontier
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:473] Information gain based on unexplored cell count and beta parameter = 370.850433
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:474] frontier centroid distance = 4.522547
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:475] frontier Utility = 82.000354
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:522] ##############################################################
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:545] ***************************************************
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:554] BetaParam : 1.141967
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:560] Frontier viewpoint world pos: 3.575000, 2.075001
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:561] Frontier viewpoint map pos: 63, 113
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:562] Frontier centroid index= 25375
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:563] Size of frontier: 3.300000 meters 
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:583] Neighboring robot positions around the frontier = 3
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (39,79), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (42,80), Omega(uncertainty trace): 1.000000
